[42, 31, 34, 37, 29, 26];[40.0, 30.0, 34.0, 33.0, 24.0, 24.0]
[37, 38, 38, 29, 29, 27];[36.0, 34.0, 34.0, 26.0, 28.0, 25.0]
[41, 35, 37, 36, 28, 22];[40.0, 32.0, 34.0, 36.0, 27.0, 19.0]
[33, 32, 34, 32, 36, 32];[29.0, 31.0, 34.0, 30.0, 35.0, 29.0]
[32, 27, 31, 44, 38, 27];[32.0, 24.0, 30.0, 43.0, 37.0, 26.0]
[30, 31, 39, 35, 36, 28];[27.0, 30.0, 36.0, 34.0, 34.0, 26.0]
[29, 29, 37, 41, 26, 37];[28.0, 28.0, 37.0, 40.0, 25.0, 35.0]
[43, 35, 30, 43, 31, 17];[42.0, 34.0, 29.0, 39.0, 31.0, 16.0]
[35, 29, 31, 46, 29, 29];[33.0, 24.0, 30.0, 44.0, 29.0, 25.0]
[40, 26, 33, 39, 30, 30];[35.0, 24.0, 33.0, 36.0, 29.0, 26.0]
[45, 27, 29, 34, 32, 32];[41.0, 27.0, 28.0, 33.0, 30.0, 28.0]
[28, 31, 34, 29, 25, 53];[28.0, 28.0, 31.0, 23.0, 25.0, 34.0]
[35, 36, 36, 33, 24, 35];[34.0, 32.0, 36.0, 31.0, 23.0, 32.0]
[28, 31, 35, 41, 44, 20];[27.0, 28.0, 33.0, 40.0, 44.0, 20.0]
[27, 31, 31, 38, 32, 41];[26.0, 30.0, 30.0, 35.0, 28.0, 38.0]
[28, 41, 31, 41, 32, 26];[27.0, 37.0, 28.0, 39.0, 31.0, 23.0]
[32, 43, 30, 40, 38, 16];[24.0, 38.0, 28.0, 37.0, 37.0, 11.0]
[18, 26, 41, 54, 40, 20];[17.0, 21.0, 36.0, 42.0, 30.0, 17.0]
[36, 38, 33, 31, 26, 35];[35.0, 37.0, 32.0, 31.0, 24.0, 33.0]
[40, 39, 26, 40, 32, 22];[40.0, 39.0, 24.0, 37.0, 31.0, 22.0]
[41, 37, 23, 27, 21, 50];[37.0, 36.0, 21.0, 25.0, 20.0, 46.0]
[23, 34, 19, 43, 46, 34];[19.0, 31.0, 19.0, 38.0, 45.0, 30.0]
[35, 29, 27, 49, 29, 30];[31.0, 26.0, 27.0, 45.0, 26.0, 27.0]
[37, 27, 28, 42, 35, 29];[36.0, 24.0, 25.0, 41.0, 34.0, 29.0]
[42, 30, 29, 49, 31, 18];[42.0, 30.0, 27.0, 48.0, 30.0, 17.0]
[30, 23, 32, 37, 49, 27];[29.0, 22.0, 31.0, 36.0, 39.0, 21.0]
[41, 34, 29, 29, 46, 20];[34.0, 33.0, 28.0, 27.0, 44.0, 18.0]
[31, 28, 28, 36, 30, 46];[26.0, 21.0, 26.0, 34.0, 28.0, 41.0]
[28, 42, 31, 37, 33, 28];[27.0, 40.0, 31.0, 31.0, 29.0, 25.0]
[27, 35, 27, 48, 31, 30];[25.0, 34.0, 27.0, 41.0, 30.0, 28.0]
[34, 25, 39, 32, 40, 28];[34.0, 24.0, 37.0, 27.0, 38.0, 27.0]
[35, 34, 23, 34, 43, 29];[34.0, 30.0, 21.0, 31.0, 40.0, 21.0]
[43, 32, 32, 35, 29, 28];[40.0, 30.0, 30.0, 33.0, 22.0, 26.0]
[55, 29, 26, 38, 31, 20];[53.0, 28.0, 26.0, 37.0, 31.0, 18.0]
[35, 38, 33, 37, 36, 20];[34.0, 34.0, 29.0, 31.0, 31.0, 19.0]
[21, 25, 44, 32, 37, 40];[19.0, 24.0, 42.0, 31.0, 33.0, 39.0]
[28, 41, 30, 39, 34, 27];[26.0, 36.0, 28.0, 37.0, 31.0, 23.0]
[30, 30, 35, 37, 33, 33];[26.0, 26.0, 33.0, 34.0, 31.0, 28.0]
[40, 33, 30, 40, 23, 33];[38.0, 31.0, 29.0, 38.0, 22.0, 30.0]
[43, 32, 31, 41, 30, 21];[41.0, 27.0, 29.0, 36.0, 26.0, 18.0]
[37, 25, 32, 49, 29, 26];[36.0, 23.0, 30.0, 45.0, 27.0, 25.0]
[29, 34, 32, 47, 32, 24];[26.0, 31.0, 32.0, 44.0, 30.0, 22.0]
[21, 41, 33, 40, 26, 38];[19.0, 40.0, 30.0, 40.0, 24.0, 34.0]
[25, 33, 38, 44, 33, 26];[24.0, 31.0, 32.0, 39.0, 28.0, 24.0]
[44, 31, 35, 31, 30, 27];[42.0, 30.0, 34.0, 30.0, 27.0, 25.0]
[40, 28, 29, 28, 33, 41];[36.0, 27.0, 26.0, 26.0, 30.0, 37.0]
[35, 47, 23, 39, 30, 24];[32.0, 45.0, 22.0, 37.0, 29.0, 24.0]
[28, 41, 28, 43, 27, 32];[25.0, 39.0, 26.0, 40.0, 25.0, 29.0]
