[13, 19, 26, 36, 26, 40, 38];[12.0, 18.0, 26.0, 30.0, 25.0, 38.0, 30.0]
[24, 31, 28, 20, 33, 27, 35];[23.0, 31.0, 28.0, 20.0, 33.0, 26.0, 35.0]
[26, 27, 29, 21, 28, 31, 36];[26.0, 25.0, 29.0, 20.0, 28.0, 29.0, 36.0]
[26, 28, 36, 21, 29, 26, 32];[25.0, 27.0, 35.0, 21.0, 29.0, 26.0, 31.0]
[23, 24, 27, 22, 31, 35, 36];[23.0, 24.0, 27.0, 22.0, 31.0, 34.0, 34.0]
[33, 27, 39, 25, 19, 31, 22];[29.0, 27.0, 39.0, 25.0, 17.0, 31.0, 21.0]
[34, 21, 33, 23, 35, 22, 31];[34.0, 19.0, 32.0, 23.0, 35.0, 21.0, 29.0]
[34, 40, 29, 18, 24, 23, 30];[33.0, 40.0, 28.0, 18.0, 24.0, 23.0, 30.0]
[23, 19, 40, 20, 25, 34, 36];[23.0, 19.0, 40.0, 20.0, 24.0, 34.0, 36.0]
[27, 32, 24, 22, 23, 41, 29];[27.0, 31.0, 24.0, 22.0, 23.0, 41.0, 29.0]
[31, 22, 39, 21, 25, 47, 13];[31.0, 22.0, 39.0, 21.0, 25.0, 46.0, 13.0]
[36, 21, 42, 25, 22, 23, 29];[34.0, 21.0, 42.0, 25.0, 22.0, 23.0, 29.0]
[24, 39, 34, 21, 30, 18, 32];[24.0, 39.0, 34.0, 21.0, 30.0, 18.0, 32.0]
[30, 26, 27, 27, 18, 36, 27];[30.0, 26.0, 27.0, 27.0, 16.0, 35.0, 27.0]
[28, 40, 27, 38, 16, 20, 29];[28.0, 39.0, 27.0, 38.0, 16.0, 20.0, 29.0]
[39, 23, 32, 26, 35, 24, 19];[39.0, 23.0, 32.0, 26.0, 34.0, 23.0, 19.0]
[38, 38, 22, 31, 24, 18, 27];[38.0, 38.0, 22.0, 31.0, 23.0, 18.0, 27.0]
[21, 28, 20, 24, 46, 33, 26];[21.0, 28.0, 19.0, 24.0, 46.0, 31.0, 26.0]
[29, 24, 32, 23, 28, 26, 36];[28.0, 24.0, 32.0, 23.0, 28.0, 24.0, 36.0]
[40, 24, 24, 36, 20, 34, 20];[40.0, 24.0, 23.0, 36.0, 20.0, 34.0, 20.0]
[34, 33, 18, 24, 37, 25, 27];[34.0, 33.0, 18.0, 24.0, 37.0, 25.0, 26.0]
[52, 33, 25, 25, 19, 19, 25];[52.0, 32.0, 25.0, 25.0, 17.0, 19.0, 24.0]
[31, 31, 26, 21, 28, 28, 30];[31.0, 30.0, 26.0, 20.0, 27.0, 28.0, 29.0]
[25, 17, 46, 22, 25, 43, 20];[24.0, 17.0, 42.0, 22.0, 25.0, 40.0, 19.0]
[21, 38, 20, 36, 7, 46, 29];[21.0, 38.0, 19.0, 36.0, 7.0, 46.0, 29.0]
[16, 41, 28, 22, 40, 31, 20];[16.0, 39.0, 28.0, 22.0, 40.0, 30.0, 20.0]
[35, 25, 22, 31, 24, 28, 30];[34.0, 25.0, 21.0, 30.0, 24.0, 28.0, 30.0]
[36, 34, 20, 24, 28, 26, 30];[36.0, 33.0, 19.0, 24.0, 28.0, 25.0, 30.0]
[22, 34, 30, 27, 32, 26, 27];[21.0, 33.0, 30.0, 27.0, 29.0, 26.0, 27.0]
[39, 29, 43, 18, 25, 17, 27];[39.0, 29.0, 42.0, 18.0, 25.0, 17.0, 26.0]
[22, 31, 40, 21, 28, 17, 38];[21.0, 29.0, 40.0, 19.0, 27.0, 17.0, 38.0]
[38, 30, 26, 37, 14, 24, 29];[38.0, 30.0, 26.0, 37.0, 14.0, 24.0, 29.0]
[26, 20, 55, 24, 25, 19, 29];[26.0, 19.0, 54.0, 24.0, 25.0, 18.0, 28.0]
[34, 23, 41, 20, 19, 34, 27];[29.0, 23.0, 38.0, 20.0, 19.0, 31.0, 24.0]
[37, 30, 32, 28, 27, 27, 17];[37.0, 30.0, 28.0, 28.0, 27.0, 27.0, 17.0]
[28, 30, 34, 25, 35, 19, 27];[28.0, 30.0, 34.0, 24.0, 35.0, 19.0, 27.0]
[27, 25, 25, 22, 35, 31, 33];[27.0, 25.0, 25.0, 22.0, 35.0, 30.0, 33.0]
[21, 38, 20, 33, 24, 35, 27];[21.0, 38.0, 20.0, 33.0, 24.0, 35.0, 27.0]
[33, 33, 18, 35, 29, 17, 33];[33.0, 32.0, 18.0, 33.0, 29.0, 17.0, 33.0]
[20, 33, 33, 16, 25, 41, 30];[20.0, 32.0, 33.0, 16.0, 25.0, 40.0, 28.0]
[20, 18, 23, 44, 24, 43, 26];[20.0, 18.0, 23.0, 43.0, 24.0, 43.0, 26.0]
