[34, 28, 43, 22, 37, 35];[32.0, 27.0, 42.0, 21.0, 34.0, 34.0]
[44, 29, 31, 25, 35, 34];[41.0, 24.0, 31.0, 22.0, 32.0, 31.0]
[30, 46, 35, 36, 27, 25];[29.0, 45.0, 31.0, 34.0, 26.0, 24.0]
[41, 36, 28, 43, 20, 31];[38.0, 31.0, 26.0, 40.0, 19.0, 29.0]
[26, 35, 34, 32, 43, 29];[24.0, 30.0, 33.0, 30.0, 40.0, 26.0]
[32, 32, 43, 38, 27, 27];[31.0, 29.0, 42.0, 35.0, 24.0, 26.0]
[41, 26, 32, 36, 26, 38];[37.0, 25.0, 31.0, 33.0, 25.0, 37.0]
[40, 31, 31, 37, 28, 32];[40.0, 29.0, 31.0, 36.0, 28.0, 32.0]
[35, 37, 36, 30, 31, 30];[34.0, 35.0, 34.0, 26.0, 27.0, 30.0]
[26, 33, 28, 34, 38, 39];[26.0, 29.0, 23.0, 25.0, 34.0, 36.0]
[27, 38, 35, 39, 34, 26];[26.0, 37.0, 32.0, 37.0, 31.0, 26.0]
[30, 38, 33, 41, 23, 35];[25.0, 34.0, 31.0, 36.0, 22.0, 32.0]
[39, 40, 30, 38, 25, 27];[34.0, 38.0, 30.0, 36.0, 25.0, 24.0]
[39, 34, 31, 48, 24, 23];[36.0, 32.0, 29.0, 46.0, 23.0, 22.0]
[31, 26, 42, 34, 41, 25];[31.0, 24.0, 39.0, 28.0, 35.0, 21.0]
[29, 38, 33, 44, 34, 21];[27.0, 36.0, 31.0, 41.0, 33.0, 19.0]
[32, 26, 23, 36, 47, 35];[30.0, 25.0, 23.0, 34.0, 41.0, 35.0]
[36, 27, 35, 38, 40, 23];[34.0, 23.0, 31.0, 36.0, 38.0, 21.0]
[39, 35, 35, 39, 29, 22];[34.0, 31.0, 31.0, 34.0, 25.0, 19.0]
[33, 41, 33, 30, 31, 31];[32.0, 40.0, 32.0, 29.0, 29.0, 29.0]
[37, 38, 26, 32, 34, 32];[35.0, 38.0, 22.0, 32.0, 30.0, 27.0]
[24, 45, 31, 37, 21, 40];[21.0, 37.0, 29.0, 32.0, 20.0, 37.0]
[36, 28, 41, 35, 23, 36];[34.0, 25.0, 35.0, 34.0, 23.0, 33.0]
[43, 26, 25, 43, 36, 25];[42.0, 25.0, 24.0, 37.0, 33.0, 25.0]
[36, 29, 36, 43, 25, 29];[34.0, 28.0, 34.0, 43.0, 21.0, 29.0]
[22, 23, 39, 27, 52, 35];[22.0, 22.0, 38.0, 26.0, 49.0, 33.0]
[44, 32, 24, 31, 41, 27];[39.0, 32.0, 22.0, 27.0, 34.0, 22.0]
[17, 25, 29, 23, 69, 36];[16.0, 19.0, 29.0, 22.0, 67.0, 34.0]
[35, 29, 35, 29, 31, 40];[34.0, 28.0, 35.0, 27.0, 29.0, 36.0]
[36, 35, 27, 37, 31, 31];[32.0, 33.0, 26.0, 32.0, 30.0, 24.0]
[27, 29, 31, 28, 53, 30];[25.0, 23.0, 30.0, 28.0, 44.0, 27.0]
[28, 24, 38, 35, 38, 35];[28.0, 24.0, 35.0, 35.0, 36.0, 31.0]
[28, 34, 43, 36, 33, 25];[26.0, 32.0, 41.0, 34.0, 30.0, 19.0]
[24, 38, 29, 35, 36, 37];[24.0, 37.0, 29.0, 33.0, 33.0, 35.0]
[32, 26, 45, 29, 37, 30];[31.0, 20.0, 44.0, 27.0, 31.0, 25.0]
