[27, 12, 31, 40, 28, 36, 25];[25.0, 10.0, 29.0, 37.0, 26.0, 31.0, 23.0]
[27, 36, 32, 23, 24, 24, 32];[26.0, 35.0, 26.0, 22.0, 23.0, 24.0, 29.0]
[27, 33, 26, 28, 32, 41, 13];[26.0, 30.0, 23.0, 21.0, 30.0, 39.0, 12.0]
[40, 20, 36, 34, 24, 17, 28];[38.0, 18.0, 30.0, 31.0, 22.0, 16.0, 26.0]
[21, 28, 26, 32, 40, 30, 22];[19.0, 24.0, 22.0, 28.0, 37.0, 27.0, 20.0]
[28, 24, 30, 29, 26, 33, 29];[28.0, 23.0, 28.0, 27.0, 23.0, 31.0, 29.0]
[25, 23, 26, 29, 32, 24, 39];[25.0, 21.0, 25.0, 28.0, 30.0, 22.0, 36.0]
[40, 27, 23, 26, 26, 27, 30];[39.0, 23.0, 22.0, 22.0, 25.0, 24.0, 20.0]
[22, 31, 30, 28, 37, 25, 26];[22.0, 27.0, 29.0, 23.0, 37.0, 24.0, 23.0]
[24, 27, 39, 33, 23, 29, 23];[22.0, 25.0, 37.0, 30.0, 20.0, 29.0, 17.0]
[33, 22, 44, 24, 30, 24, 22];[32.0, 20.0, 42.0, 24.0, 30.0, 23.0, 22.0]
[33, 30, 21, 31, 26, 28, 30];[30.0, 28.0, 21.0, 26.0, 24.0, 23.0, 29.0]
[30, 22, 28, 47, 18, 28, 26];[29.0, 20.0, 28.0, 47.0, 17.0, 26.0, 24.0]
[32, 37, 30, 30, 18, 24, 28];[31.0, 34.0, 25.0, 26.0, 18.0, 24.0, 26.0]
[21, 26, 38, 36, 26, 33, 19];[20.0, 22.0, 36.0, 33.0, 24.0, 31.0, 15.0]
[31, 38, 29, 25, 33, 20, 23];[21.0, 35.0, 22.0, 21.0, 29.0, 17.0, 21.0]
[32, 32, 23, 30, 29, 28, 25];[32.0, 25.0, 21.0, 28.0, 27.0, 25.0, 19.0]
[38, 22, 31, 21, 30, 35, 22];[33.0, 18.0, 29.0, 15.0, 26.0, 32.0, 21.0]
[29, 19, 20, 40, 34, 26, 31];[28.0, 17.0, 17.0, 37.0, 32.0, 26.0, 26.0]
[31, 24, 32, 40, 24, 18, 29];[31.0, 20.0, 31.0, 40.0, 23.0, 18.0, 29.0]
[31, 34, 31, 25, 30, 20, 28];[26.0, 31.0, 30.0, 22.0, 25.0, 20.0, 25.0]
[20, 23, 27, 36, 26, 35, 32];[18.0, 22.0, 23.0, 34.0, 24.0, 35.0, 30.0]
[29, 35, 24, 27, 18, 31, 35];[25.0, 29.0, 21.0, 24.0, 17.0, 29.0, 34.0]
[43, 32, 20, 27, 31, 28, 17];[42.0, 28.0, 20.0, 27.0, 28.0, 28.0, 16.0]
[15, 26, 27, 37, 37, 22, 35];[14.0, 26.0, 24.0, 36.0, 34.0, 21.0, 30.0]
[29, 22, 21, 38, 27, 32, 29];[28.0, 20.0, 16.0, 36.0, 25.0, 29.0, 26.0]
[33, 33, 28, 33, 23, 21, 28];[30.0, 32.0, 26.0, 30.0, 22.0, 20.0, 26.0]
[31, 21, 21, 31, 27, 35, 33];[25.0, 20.0, 16.0, 25.0, 22.0, 28.0, 20.0]
[27, 24, 27, 37, 25, 27, 32];[27.0, 22.0, 25.0, 31.0, 24.0, 22.0, 28.0]
[32, 25, 29, 34, 26, 28, 24];[30.0, 23.0, 27.0, 32.0, 25.0, 23.0, 22.0]
[25, 29, 15, 40, 20, 29, 40];[25.0, 26.0, 14.0, 34.0, 17.0, 27.0, 36.0]
[26, 21, 22, 42, 29, 22, 36];[24.0, 21.0, 20.0, 40.0, 27.0, 20.0, 27.0]
[18, 23, 37, 30, 28, 40, 23];[15.0, 18.0, 33.0, 27.0, 24.0, 30.0, 19.0]
[30, 30, 32, 26, 29, 26, 26];[27.0, 26.0, 29.0, 21.0, 27.0, 23.0, 26.0]
[35, 25, 24, 33, 33, 23, 26];[32.0, 23.0, 21.0, 28.0, 31.0, 20.0, 26.0]
[21, 22, 28, 31, 30, 34, 33];[18.0, 20.0, 27.0, 28.0, 24.0, 28.0, 29.0]
[29, 36, 25, 35, 17, 25, 31];[26.0, 36.0, 21.0, 28.0, 17.0, 22.0, 30.0]
[35, 21, 24, 18, 28, 35, 37];[32.0, 20.0, 21.0, 16.0, 27.0, 32.0, 36.0]
[30, 28, 18, 29, 32, 35, 27];[28.0, 25.0, 18.0, 28.0, 31.0, 28.0, 26.0]
[29, 28, 24, 17, 40, 29, 31];[28.0, 27.0, 22.0, 17.0, 39.0, 25.0, 28.0]
[30, 30, 24, 32, 34, 26, 22];[26.0, 23.0, 20.0, 29.0, 33.0, 24.0, 19.0]
[32, 36, 26, 34, 21, 19, 30];[31.0, 35.0, 23.0, 34.0, 20.0, 15.0, 28.0]
[30, 28, 27, 19, 24, 31, 40];[27.0, 26.0, 22.0, 16.0, 21.0, 27.0, 38.0]
[20, 29, 31, 33, 30, 33, 22];[17.0, 26.0, 26.0, 30.0, 28.0, 31.0, 22.0]
[22, 27, 32, 33, 22, 34, 27];[22.0, 27.0, 32.0, 33.0, 22.0, 34.0, 27.0]
[31, 26, 21, 38, 32, 24, 27];[23.0, 24.0, 15.0, 33.0, 30.0, 22.0, 20.0]
[31, 29, 31, 32, 28, 29, 18];[30.0, 26.0, 29.0, 31.0, 26.0, 24.0, 13.0]
[38, 34, 21, 32, 28, 18, 28];[36.0, 30.0, 19.0, 28.0, 27.0, 16.0, 26.0]
[36, 21, 19, 30, 17, 42, 33];[28.0, 12.0, 13.0, 23.0, 14.0, 26.0, 27.0]
[33, 26, 27, 36, 25, 21, 31];[30.0, 23.0, 26.0, 34.0, 23.0, 17.0, 29.0]
[29, 29, 23, 32, 34, 31, 20];[26.0, 25.0, 19.0, 26.0, 29.0, 30.0, 19.0]
[32, 36, 31, 13, 37, 26, 24];[31.0, 32.0, 25.0, 11.0, 35.0, 24.0, 18.0]
[30, 20, 27, 32, 25, 38, 26];[29.0, 16.0, 26.0, 30.0, 25.0, 35.0, 22.0]
[18, 38, 30, 35, 25, 20, 32];[17.0, 35.0, 29.0, 33.0, 23.0, 17.0, 31.0]
[17, 21, 26, 32, 32, 37, 34];[16.0, 20.0, 25.0, 30.0, 32.0, 36.0, 34.0]
[32, 24, 21, 38, 33, 26, 25];[30.0, 23.0, 18.0, 33.0, 30.0, 18.0, 24.0]
[15, 26, 31, 44, 20, 26, 37];[14.0, 26.0, 30.0, 42.0, 19.0, 25.0, 37.0]
[20, 26, 22, 32, 38, 30, 31];[20.0, 26.0, 21.0, 32.0, 34.0, 27.0, 30.0]
[37, 21, 33, 22, 31, 26, 28];[35.0, 19.0, 32.0, 22.0, 29.0, 25.0, 24.0]
[18, 31, 23, 41, 33, 31, 22];[16.0, 31.0, 21.0, 40.0, 32.0, 31.0, 20.0]
[26, 17, 35, 26, 19, 35, 41];[24.0, 13.0, 28.0, 22.0, 16.0, 29.0, 41.0]
[34, 25, 24, 28, 35, 24, 29];[34.0, 20.0, 22.0, 28.0, 32.0, 23.0, 28.0]
[34, 26, 35, 19, 37, 24, 24];[32.0, 20.0, 29.0, 18.0, 34.0, 23.0, 22.0]
[25, 24, 38, 18, 37, 22, 35];[21.0, 21.0, 33.0, 16.0, 32.0, 18.0, 25.0]
[26, 22, 25, 34, 37, 35, 20];[26.0, 20.0, 20.0, 30.0, 36.0, 26.0, 19.0]
[21, 25, 38, 17, 31, 32, 34];[20.0, 24.0, 35.0, 13.0, 28.0, 27.0, 32.0]
[25, 29, 33, 19, 43, 20, 30];[24.0, 25.0, 27.0, 19.0, 36.0, 19.0, 26.0]
[36, 25, 27, 30, 34, 31, 15];[33.0, 23.0, 26.0, 27.0, 29.0, 31.0, 15.0]
[38, 27, 23, 31, 27, 26, 27];[35.0, 24.0, 21.0, 28.0, 25.0, 21.0, 23.0]
[39, 22, 31, 25, 27, 30, 25];[39.0, 21.0, 28.0, 24.0, 25.0, 26.0, 22.0]
[20, 38, 18, 36, 30, 29, 28];[18.0, 34.0, 15.0, 31.0, 24.0, 24.0, 27.0]
[36, 42, 23, 27, 23, 19, 29];[32.0, 40.0, 23.0, 24.0, 22.0, 19.0, 27.0]
[27, 29, 32, 38, 21, 26, 26];[26.0, 28.0, 28.0, 37.0, 18.0, 25.0, 21.0]
[26, 28, 24, 37, 23, 26, 33];[22.0, 23.0, 23.0, 37.0, 23.0, 26.0, 30.0]
[25, 35, 40, 28, 28, 20, 23];[23.0, 33.0, 36.0, 25.0, 22.0, 20.0, 20.0]
[25, 27, 21, 41, 26, 31, 28];[25.0, 24.0, 19.0, 36.0, 24.0, 25.0, 26.0]
[27, 27, 33, 30, 30, 16, 35];[25.0, 21.0, 27.0, 26.0, 27.0, 15.0, 29.0]
[31, 24, 25, 26, 27, 43, 23];[31.0, 20.0, 22.0, 21.0, 25.0, 35.0, 21.0]
[20, 23, 31, 35, 21, 34, 35];[20.0, 23.0, 31.0, 34.0, 21.0, 33.0, 34.0]
[22, 34, 24, 39, 23, 32, 25];[21.0, 32.0, 21.0, 31.0, 22.0, 26.0, 22.0]
[22, 21, 39, 28, 19, 35, 34];[21.0, 21.0, 38.0, 28.0, 19.0, 34.0, 31.0]
[31, 31, 19, 26, 33, 25, 34];[27.0, 28.0, 19.0, 24.0, 33.0, 22.0, 27.0]
[27, 25, 35, 33, 27, 28, 24];[26.0, 21.0, 30.0, 32.0, 25.0, 25.0, 21.0]
[25, 26, 28, 27, 39, 32, 21];[20.0, 25.0, 21.0, 25.0, 34.0, 20.0, 16.0]
[30, 27, 31, 33, 29, 24, 25];[27.0, 25.0, 31.0, 28.0, 29.0, 22.0, 22.0]
[34, 29, 28, 30, 25, 24, 28];[31.0, 28.0, 23.0, 27.0, 22.0, 19.0, 21.0]
[39, 27, 34, 30, 22, 24, 23];[38.0, 22.0, 30.0, 29.0, 21.0, 24.0, 22.0]
[36, 32, 15, 34, 29, 23, 30];[35.0, 28.0, 14.0, 30.0, 28.0, 20.0, 25.0]
[19, 20, 25, 45, 28, 37, 25];[17.0, 16.0, 17.0, 38.0, 24.0, 32.0, 21.0]
[24, 29, 31, 26, 34, 34, 21];[24.0, 28.0, 26.0, 24.0, 33.0, 32.0, 21.0]
[36, 19, 25, 29, 41, 23, 26];[36.0, 18.0, 22.0, 28.0, 37.0, 21.0, 26.0]
[44, 26, 19, 35, 29, 27, 19];[40.0, 25.0, 17.0, 30.0, 27.0, 25.0, 18.0]
[35, 33, 34, 34, 18, 23, 21];[30.0, 32.0, 30.0, 32.0, 16.0, 23.0, 21.0]
[30, 20, 24, 34, 34, 30, 27];[28.0, 17.0, 23.0, 31.0, 32.0, 27.0, 22.0]
[41, 36, 24, 13, 36, 19, 30];[41.0, 31.0, 21.0, 12.0, 34.0, 19.0, 29.0]
[34, 33, 17, 44, 26, 22, 23];[33.0, 28.0, 17.0, 40.0, 26.0, 19.0, 22.0]
[30, 37, 25, 31, 29, 20, 26];[29.0, 34.0, 25.0, 30.0, 28.0, 20.0, 25.0]
[31, 25, 31, 34, 16, 34, 28];[29.0, 23.0, 28.0, 29.0, 15.0, 31.0, 27.0]
[30, 24, 29, 30, 30, 22, 33];[30.0, 24.0, 28.0, 26.0, 28.0, 17.0, 28.0]
[22, 22, 37, 40, 19, 23, 31];[15.0, 19.0, 36.0, 37.0, 17.0, 18.0, 21.0]
[32, 25, 36, 33, 24, 30, 19];[31.0, 20.0, 29.0, 28.0, 23.0, 30.0, 18.0]
[19, 27, 20, 36, 42, 23, 32];[18.0, 23.0, 19.0, 33.0, 40.0, 20.0, 31.0]
[34, 22, 32, 30, 24, 32, 25];[29.0, 22.0, 26.0, 26.0, 24.0, 25.0, 21.0]
[21, 28, 26, 25, 46, 26, 27];[20.0, 25.0, 25.0, 22.0, 43.0, 22.0, 24.0]
[33, 23, 24, 30, 32, 34, 24];[32.0, 21.0, 23.0, 26.0, 31.0, 32.0, 21.0]
[26, 30, 21, 34, 23, 35, 30];[21.0, 26.0, 21.0, 33.0, 23.0, 33.0, 29.0]
[25, 27, 26, 32, 23, 31, 34];[25.0, 24.0, 26.0, 29.0, 22.0, 31.0, 28.0]
[38, 31, 27, 29, 25, 31, 18];[37.0, 28.0, 24.0, 27.0, 22.0, 28.0, 18.0]
[39, 20, 40, 31, 25, 14, 29];[39.0, 18.0, 38.0, 28.0, 22.0, 13.0, 27.0]
[21, 30, 33, 37, 28, 21, 29];[19.0, 27.0, 29.0, 33.0, 27.0, 15.0, 24.0]
[40, 25, 37, 17, 16, 39, 25];[37.0, 21.0, 33.0, 15.0, 15.0, 36.0, 23.0]
[25, 23, 28, 37, 27, 32, 27];[21.0, 20.0, 25.0, 36.0, 27.0, 27.0, 21.0]
[31, 27, 32, 31, 19, 20, 38];[28.0, 18.0, 28.0, 29.0, 17.0, 17.0, 31.0]
[26, 34, 32, 31, 24, 26, 26];[25.0, 31.0, 32.0, 29.0, 23.0, 24.0, 23.0]
[37, 28, 24, 35, 31, 27, 17];[37.0, 24.0, 22.0, 34.0, 30.0, 25.0, 12.0]
[27, 23, 29, 29, 23, 39, 29];[26.0, 23.0, 27.0, 23.0, 22.0, 32.0, 26.0]
[26, 42, 23, 26, 37, 19, 25];[23.0, 40.0, 20.0, 22.0, 32.0, 17.0, 21.0]
[31, 27, 34, 20, 29, 31, 27];[27.0, 27.0, 31.0, 17.0, 27.0, 31.0, 24.0]
